Wartosc_X,Wynik_Niestabilny,Wynik_Stabilny
1.0,0.41421356237309515,0.4142135623730951
10.0,0.1543471301870203,0.1543471301870205
100.0,0.049875621120889946,0.04987562112089027
1000.0,0.015807437428957627,0.015807437428955823
10000.0,0.004999875006248544,0.004999875006249609
100000.0,0.001581134877255863,0.0015811348772568783
1.0e6,0.0004999998750463419,0.0004999998750000625
1.0e7,0.00015811387902431306,0.00015811387905557208
1.0e8,5.000000055588316e-5,4.9999999874999996e-5
1.0e9,1.5811390767339617e-5,1.581138829688905e-5
1.0e10,4.999994416721165e-6,4.999999999875e-6
1.0e11,1.5811529010534286e-6,1.581138830080237e-6
1.0e12,5.00003807246685e-7,4.999999999998749e-7
1.0e13,1.578591763973236e-7,1.58113883008415e-7
1.0e14,5.029141902923584e-8,4.999999999999987e-8
1.0e15,1.862645149230957e-8,1.5811388300841893e-8
1.0e16,0.0,5.0e-9
1.0e17,0.0,1.5811388300841896e-9
1.0e18,0.0,5.0e-10
